Price,Bedroom,Bathroom,Floors,Parking,Year,Area,Road Width,Build Area,Amenities,City_Bhaktapur,City_Chitwan,City_Dharan,City_Kathmandu,City_Lalitpur,City_Makwanpur,City_Nawalparasi,City_Others,City_Pokhara,Address_Baluwatar,Address_Basundhara,Address_Bhaisepati,Address_Bhangal,Address_Budhanilkantha,Address_Chabahil,Address_Dhapasi,Address_Golfutar,Address_Hattigauda,Address_Imadol,Address_Jorpati,Address_Kapan,Address_Other,Address_Samakhusi,Address_Sitapaila,Address_Tokha,Face_East,Face_North,Face_North East,Face_North West,Face_South,Face_South East,Face_South West,Face_West,Road Type_ Alley,Road Type_ Blacktopped,Road Type_ Concrete,Road Type_ Gravelled,Road Type_ Paved,Road Type_ Soil Stabilized,Road Type_None
40000000,8,4,3.0,5,2068.0,13673.0,12.0,13673.0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37000000,8,5,3.0,2,2077.0,5359.25,12.0,5359.25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
34000000,6,3,3.0,1,2077.0,1369.0,12.0,1369.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26000000,8,4,3.0,1,2075.0,1371.0,16.0,1371.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
22000000,5,3,3.0,1,2074.0,9343.5,10.0,9343.5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23000000,7,3,3.0,1,2074.0,1369.0,10.0,1369.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15500000,5,2,3.0,1,2074.0,8318.75,13.0,8318.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57500000,0,0,3.0,0,2074.0,5698.5,12.0,5698.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
90000000,5,5,3.0,3,2074.0,3422.5,20.0,3422.5,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17000000,4,3,2.5,1,2076.0,1369.0,10.0,1650.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
